Assay	CAS	Sample Name	ReplicateSet	Curve Class	CONC0	CONC1	CONC2	CONC3	CONC4	CONC5	CONC6	CONC7	CONC8	CONC9	CONC10	CONC11	CONC12	CONC13	CONC14	RESP0	RESP1	RESP2	RESP3	RESP4	RESP5	RESP6	RESP7	RESP8	RESP9	RESP10	RESP11	RESP12	RESP13	RESP14	mask0	mask1	mask2	mask3	mask4	mask5	mask6	mask7	mask8	mask9	mask10	mask11	mask12	mask13	mask14
tox21-ar-bla-agonist	NOCAS_49533	NTP Mix113 ER1 10-EQC	2	4	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	2.57878152	8.85701987	0.87788756	-0.79804304	-4.4411725	-0.19276701	14.80851123	-1.17724229	18.52901718	-0.01042227	0.77315157	0.99354299	-0.72041053	0.23878404	-1.01487585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49543	NTP Mix88 ER AR1 18-EQP	2	1.1	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-8.52669518	-0.10944911	1.47819835	2.20635325	4.65304547	23.01652223	33.04322878	59.85544425	73.61518583	85.40169266	94.40223419	93.31956017	117.78001287	115.0220371	126.08091159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49510	NTP Mix17 AR1 8-EQC	2	2.2	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	5.28478198	-0.37391448	29.220268570000002	6.37909935	5.57574736	16.91259493	18.90331903	23.9487029	27.33348834	26.2572958	27.2674858	49.01741684	51.76512351	45.53607833	-43.82101123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
tox21-ar-bla-agonist	57-83-0	Progesterone	2	1.3	9.762e-10	2.183e-9	4.881e-9	1.091e-8	2.441e-8	5.457e-8	1.2199999999e-7	2.7289999999e-7	6.101e-7	1.364e-6	3.051e-6	6.822e-6	1.525e-5	3.411e-5	7.6269999999e-5	22.07679333	92.93030753	40.33337381	50.7622844	67.23518994	70.89499411	80.05402735	97.52877744	103.26917427	116.72342392	132.25017587	123.61065272	122.13049895	69.80204446	-35.01600198	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
tox21-ar-bla-agonist	NOCAS_49500	NTP Mix7 AR1 8-EQC	2	2.2	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-8.69970274	7.6799397	-5.33643413	-1.44636788	19.38760135	-1.83019329	-3.41778688	0.14607347	-0.51151259	-0.48596058	1.81803347	8.02928963	22.4183468	36.21195689	59.1825303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49559	NTP Mix28 AR2 3-EQP	2	2.1	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-1.37503187	-1.16670506	0	4.10419086	11.38179715	6.67267796	19.06275304	28.23410263	0	36.41558064	33.69805916	0	51.0145274	65.00060713	89.50063824	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
tox21-ar-bla-agonist	NOCAS_49529	NTP Mix109 ER1 10-EQC	2	-3	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-0.71182785	-3.3344717	0.59575687	-0.96542531	-3.82197812	1.88353811	-0.10239803	-0.02025068	-1.12688791	0.08715293	-0.59627921	-0.06354193	1.01052667	0.79595681	-48.88020424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49506	NTP Mix13 AR1 8-EQC	2	2.2	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	0.26498785	-4.03536677	-0.90210713	0.16066838	0.04676171	-0.03314551	-2.42322056	1.79649348	10.49589069	15.48626967	24.08166589	20.95271037	32.94539166	33.65768335	45.78630994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	143-50-0	Kepone	2	4	9.675e-10	2.163e-9	4.837e-9	1.0819999999e-8	2.419e-8	5.408e-8	1.2089999999e-7	2.704e-7	6.047e-7	1.352e-6	3.023e-6	6.76e-6	1.512e-5	3.3799999999e-5	7.5579999999e-5	4.85817561	-3.28490129	-2.38807672	-0.23995463	-5.90382848	-1.95874235	-0.97827504	-4.81634089	-5.26632979	-0.04205866	0.55953598	-0.53075052	-3.85664768	-0.73563241	-7.95999483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49501	NTP Mix8 AR1 8-EQC	2	1.2	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-0.13672158	-4.6268578400000004	5.65230524	0.19708572	-5.57956595	0.71107316	6.46230689	-0.02084041	11.57194718	15.45164565	7.53292531	15.94177006	27.9216014	32.1085713	35.64266704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
