Assay	CAS	Sample Name	ReplicateSet	Curve Class	CONC0	CONC1	CONC2	CONC3	CONC4	CONC5	CONC6	CONC7	CONC8	CONC9	CONC10	CONC11	CONC12	CONC13	CONC14	RESP0	RESP1	RESP2	RESP3	RESP4	RESP5	RESP6	RESP7	RESP8	RESP9	RESP10	RESP11	RESP12	RESP13	RESP14	mask0	mask1	mask2	mask3	mask4	mask5	mask6	mask7	mask8	mask9	mask10	mask11	mask12	mask13	mask14
tox21-er-bla-agonist	NOCAS_49528	NTP Mix108 ER1 10-EQC	3	2.2	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	-0.12292991	0.61491434	0.5298966	0.38129792	-0.18796992	-0.2950497	-0.04764741	0.28899008	-0.21519316	1.50693322	6.61432275	3.65040921	5.55188539	14.56239811	36.5246576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	50-02-2	Dexamethasone	1	4	9.93e-10	2.22e-9	4.9599999999e-9	1.11e-8	2.4799999999e-8	5.55e-8	1.24e-7	2.78e-7	6.21e-7	1.3899999999e-6	3.1e-6	6.94e-6	1.55e-5	3.47e-5	7.7599999999e-5	-0.14400922	0.15720181	0.54443862	1.74418309	-0.95837044	0.66572556	1.96149015	0.15450033	0.23660194	0.62347945	0.21215657	-0.01098056	0.00999292	-0.01094092	0.20322908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49530	NTP Mix110 ER1 10-EQC	1	2.4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	-0.16071799	0.45130467	1.2309043	0.03087055	0.01950511	-0.06734655	-0.09889964	-0.05187798	-0.24651863	2.11195303	-0.7011174	0.68592928	0.76302862	1.22005204	9.71124903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49495	NTP Mix2 AR1 4-EQP	1	4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.49450899	-0.13755158	-0.74381467	-0.73930333	1.01893206	1.46807263	0.15378306	0.16600955	-0.08290155	-0.72218226	0.11668611	-1.22465038	-0.86731417	-0.72925633	-1.50819739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49560	NTP Mix29 AR2 5-EQP-HF	2	2.2	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	1.03295979	-0.17591181	-0.08386247	-0.19079652	-0.38883223	-0.38957411	-0.16007881	2.06798471	1.59229608	1.04206319	0.58887336	3.17063102	8.16701933	6.89352244	25.25041471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49494	NTP Mix1 AR1 4-EQP	2	2.2	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	1.17448299	-0.93023603	0.72450534	-0.01258653	-0.20520756	0.02417609	3.49978986	1.25864056	1.68772949	1.83082885	4.23048993	5.09490217	10.07792019	10.38580058	36.51770369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49557	NTP Mix27 AR2 2-EQP	2	4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.01843346	0.58325768	-0.54915326	-0.59008701	-0.54363045	2.08494948	3.02548083	1.10662268	0.43875946	1.25727042	0.35226937	0.06241992	2.27979998	-0.58609616	4.52538908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49559	NTP Mix28 AR2 3-EQP	2	4	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.56859495	0.9716089	0.03594106	1.35242125	-0.1991256	0.45144334	-0.01760133	0.91499774	1.47063652	1.6994326	1.298669	2.88938477	4.89263607	-0.92508166	5.55514987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49532	NTP Mix112 ER1 10-EQC	2	2.2	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.52238681	0.72135737	0.66717814	0.40389689	-0.53301673	-0.61002893	1.58741996	2.47698526	0.42927584	0.64172544	0.56567973	1.26881874	6.08206206	8.97257393	25.68121456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-er-bla-agonist	NOCAS_49515	NTP Mix117 ER1 5-EQP	2	2.2	4.9e-10	1.1e-9	2.4499999999e-9	5.4799999999e-9	1.23e-8	2.74e-8	6.13e-8	1.37e-7	3.07e-7	6.85e-7	1.53e-6	3.43e-6	7.66e-6	1.71e-5	3.8299999999e-5	0.59468157	0.1547576	1.49165785	-0.29947644	-0.45408026	0.74522503	1.80890336	1.29514667	0.07379166	0.19703381	1.68405175	3.0792997	2.48883781	11.16978804	30.70785519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
